n,time
1,1407
2,1229
3,1206
4,1352
5,1598
6,1806
7,1804
8,1852
9,1765
10,1868
11,1752
12,1616
13,2337
14,1662
15,1462
16,1556
17,1344
18,1524
19,1729
20,6807
21,1795
22,1506
23,1637
24,1418
25,6635
26,1617
27,1898
28,1647
29,6298
30,1645
31,1682
32,1487
33,1568
34,7585
35,1506
36,1596
37,2400
38,2065
39,1874
40,1782
41,2034
42,1574
43,1481
44,1328
45,1680
46,1778
47,1763
48,1383
49,1451
50,1193
51,3649
52,1539
53,1364
54,1218
55,1416
56,1256
57,1379
58,6024
59,1406
60,1347
61,1361
62,1779
63,1591
64,1925
65,1578
66,1540
67,1437
68,1562
69,1465
70,1553
71,1368
72,1707
73,1489
74,1339
75,1272
76,5727
77,5893
78,5750
79,5679
80,5870
81,5608
82,5952
83,5304
84,5557
85,6087
86,5478
87,6150
88,5623
89,5822
90,5886
91,6254
92,5674
93,6227
94,5671
95,5783
96,6428
97,6101
98,6353
99,5793
100,6301
101,6085
102,6827
103,7016
104,6367
105,6904
106,6933
107,6367
108,6341
109,6642
110,7106
111,7224
112,6904
113,6818
114,7097
115,6877
116,7142
117,6832
118,6946
119,9513
120,6675
121,6656
122,6326
123,6768
124,6336
125,6156
126,6511
127,6418
128,5921
129,6270
130,6694
131,6416
132,5949
133,6025
134,6570
135,6124
136,6063
137,6505
138,5865
139,6196
140,7939
141,6938
142,6437
143,6596
144,6322
145,6888
146,6790
147,7267
148,6430
149,6098
150,6496
151,6193
152,6442
153,6162
154,6389
155,6540
156,6287
157,6547
158,6482
159,6636
160,6761
161,6972
162,7098
163,6644
164,6926
165,7495
166,7546
167,7154
168,7601
169,10249
170,7551
171,7081
172,6805
173,6668
174,6179
175,6258
176,6634
177,6316
178,6178
179,6550
180,6609
181,6531
182,6564
183,6679
184,6808
185,6708
186,6596
187,6381
188,6735
189,6398
190,6885
191,6798
192,6586
193,6652
194,6390
195,6852
196,6629
197,6469
198,7431
199,7154
200,6926
201,7298
202,7503
203,6853
204,7874
205,7469
206,7096
207,6863
208,6618
209,7106
210,6834
211,6863
212,7004
213,6548
214,9722
215,6526
216,6365
217,6648
218,6673
219,6726
220,6799
221,7956
222,6830
223,10523
224,12129
225,8553
226,8282
227,7904
228,8181
229,7464
230,8510
231,7230
232,6995
233,7311
234,7050
235,7308
236,6956
237,7126
238,7046
239,6915
240,6839
241,7650
242,7176
243,7441
244,10507
245,7916
246,7659
247,7911
248,7600
249,7458
250,8086
251,7860
252,7808
253,7690
254,7616
255,8270
256,8082
257,8405
258,8167
259,7798
260,7618
261,7911
262,7748
263,7140
264,7439
265,7366
266,6821
267,9554
268,9500
269,7708
270,7680
271,7338
272,7229
273,7425
274,7105
275,7173
276,7358
277,9357
278,13796
279,8419
280,8593
281,8108
282,7816
283,7497
284,7202
285,6573
286,7013
287,7040
288,7685
289,7504
290,8014
291,7623
292,7799
293,7220
294,7454
295,7742
296,7451
297,7216
298,7353
299,8013
300,7459
301,6942
302,7107
303,6947
304,6991
305,7203
306,7149
307,7395
308,6939
309,6890
310,7060
311,7118
312,7323
313,7219
314,7092
315,7473
316,7775
317,7421
318,7394
319,7432
320,7345
321,7964
322,8323
323,7518
324,7260
325,7148
326,7534
327,7010
328,7757
329,7385
330,7507
331,7520
332,7405
333,7498
334,7625
335,7657
336,7473
337,7449
338,7021
339,7168
340,7411
341,7250
342,7098
343,7589
344,7538
345,7506
346,7116
347,7329
348,7080
349,7211
350,7490
351,7520
352,7341
353,7356
354,7591
355,7094
356,7363
357,7386
358,7446
359,7689
360,6988
361,10688
362,7575
363,7157
364,7558
365,7031
366,7156
367,7520
368,7380
369,6968
370,7686
371,7454
372,7232
373,6735
374,7121
375,7237
376,7267
377,7781
378,9125
379,6814
380,7344
381,7469
382,7928
383,7752
384,7398
385,8225
386,7695
387,7346
388,7199
389,7508
390,7970
391,7096
392,7702
393,8390
394,7716
395,7957
396,11344
397,8058
398,7558
399,7455
400,7349
401,7155
402,7404
403,7995
404,8410
405,7620
406,7584
407,7732
408,8074
409,8552
410,8606
411,7450
412,7500
413,7686
414,7575
415,7667
416,7349
417,7514
418,8140
419,7699
420,8092
421,7695
422,7730
423,7496
424,7923
425,7450
