n,time
1,2515
2,1673
3,1853
4,1393
5,1042
6,1462
7,1132
8,1192
9,2144
10,1172
11,1052
12,1423
13,1623
14,1313
15,1923
16,3176
17,2174
18,1934
19,2314
20,1773
21,1863
22,1323
23,1623
24,2094
25,2004
26,2004
27,1092
28,1614
29,1473
30,1703
31,1784
32,1172
33,1493
34,1102
35,1513
36,1353
37,1964
38,1824
39,1152
40,1232
41,1513
42,1283
43,2545
44,1353
45,1162
46,2424
47,1553
48,1693
49,2054
50,1423
51,1563
52,962
53,1964
54,9388
55,1754
56,1623
57,1323
58,1523
59,1182
60,1092
61,1583
62,2966
63,1984
64,1543
65,1984
66,1803
67,2534
68,1954
69,1714
70,1894
71,2454
72,1823
73,2024
74,1934
75,1923
76,2195
77,2225
78,1843
79,1844
80,2064
81,1653
82,1924
83,10219
84,2064
85,1603
86,1302
87,2134
88,2355
89,1623
90,2154
91,1813
92,1853
93,1694
94,1923
95,2956
96,2264
97,1903
98,1483
99,1653
100,2454
101,1854
102,2284
103,1413
104,1843
105,1533
106,1944
107,1613
108,1913
109,1283
110,1814
111,1273
112,1232
113,1392
114,1273
115,1202
116,1223
117,1213
118,1252
119,1202
120,1102
121,1082
122,1132
123,891
124,1252
125,1493
126,1884
127,1423
128,2144
129,1503
130,1864
131,1814
132,2525
133,1633
134,2484
135,1032
136,1283
137,1823
138,1633
139,1093
140,992
141,1533
142,1202
143,1313
144,1513
145,3386
146,2275
147,1373
148,2855
149,1533
150,2134
151,1693
152,1804
153,2304
154,1974
155,2816
156,2956
157,2434
158,2124
159,2043
160,1353
161,2094
162,2185
163,2424
164,2925
165,2285
166,2414
167,2404
168,1773
169,2154
170,1623
171,1313
172,2144
173,1383
174,1763
175,1623
176,2114
177,2224
178,3216
179,1853
180,1723
181,1723
182,1203
183,2214
184,3557
185,32131
186,2053
187,1973
188,2245
189,2655
190,2164
191,1673
192,1643
193,2164
194,1443
195,1824
196,3106
197,2104
198,2134
199,2475
200,2946
201,2194
202,2655
203,2094
204,1943
205,2535
206,1633
207,1102
208,1512
209,1252
210,1473
211,1162
212,1062
213,1222
214,1152
215,2404
216,1603
217,1463
218,1332
219,1663
220,1243
221,1453
222,1362
223,2184
224,3186
225,2695
226,1664
227,1943
228,2695
229,2214
230,1312
231,1383
232,1403
233,1082
234,1152
235,1794
236,1443
237,572
238,1282
239,1252
240,1272
241,1243
242,1553
243,1213
244,1834
245,2415
246,2545
247,2043
248,2094
249,1472
250,1843
251,1613
252,1944
253,1613
254,1873
255,1974
256,2104
257,1533
258,1893
259,1603
260,1753
261,1964
262,2294
263,2064
264,3526
265,2144
266,2305
267,2244
268,2384
269,1643
270,1604
271,1553
272,1553
273,1744
274,1624
275,2816
276,1342
277,1322
278,1223
279,1343
280,1192
281,1133
282,1252
283,1222
284,882
285,1012
286,1843
287,2575
288,3086
289,1984
290,2335
291,1683
292,2635
293,1453
294,1363
295,1353
296,1713
297,2785
298,2034
299,1613
300,3146
301,1463
302,1352
303,1844
304,2515
305,1563
306,2003
307,2384
308,2084
309,1884
310,2004
311,1964
312,2204
313,1393
314,1272
315,1233
316,1162
317,2515
318,1944
319,1703
320,1693
321,1563
322,1723
323,1954
324,1704
325,1342
326,1363
327,1974
328,2204
329,2224
330,3296
331,2184
332,2144
333,2545
334,2024
335,2675
336,1804
337,2345
338,1924
339,2305
340,2134
341,2094
342,1854
343,2124
344,1743
345,1422
346,1813
347,2625
348,2745
349,1933
350,1553
351,1392
352,2245
353,1353
354,1753
355,1423
356,1272
357,1052
358,1353
359,1633
360,1343
361,822
362,1032
363,1233
364,831
365,3797
366,1323
367,1312
368,2815
369,2415
370,2264
371,2114
372,2003
373,1814
374,1914
375,1814
376,1954
377,1824
378,1954
379,2514
380,1824
381,2014
382,1864
383,1733
384,1553
385,1713
386,2885
387,2465
388,2645
389,1924
390,1973
391,1352
392,1754
393,1483
394,1152
395,1252
396,1323
397,1282
398,1112
399,1363
400,1052
401,1222
402,1143
403,1112
404,1302
405,1242
406,1233
407,2464
408,1653
409,2174
410,1854
411,1853
412,2866
413,2044
414,1964
415,1403
416,1352
417,1392
418,1573
419,1624
420,1803
421,1533
422,14288
423,2074
424,1383
425,2274
426,1743
427,1533
428,1343
429,1743
430,1432
431,1563
432,1403
433,1353
434,1052
435,1263
436,1232
437,1142
438,1323
439,1483
440,1202
441,1272
442,1162
443,1162
444,1173
445,1072
446,1122
447,1634
448,1022
449,2715
450,2425
451,1953
452,1953
453,2545
454,1633
455,1402
456,1473
457,1543
458,2645
459,1893
460,1723
461,3296
462,1333
463,2174
464,1082
465,1282
466,1363
467,1072
468,982
469,892
470,1052
471,2254
472,1834
473,2024
474,2254
475,2024
476,1934
477,2034
478,1593
479,2034
480,1893
481,2014
482,2004
483,1753
484,1883
485,1463
486,2385
487,1352
488,2895
489,1673
490,1293
491,1813
492,1734
493,2054
494,2876
495,2735
496,1362
497,1193
498,922
499,1263
500,1303
501,1343
502,2505
503,1763
504,2014
505,1784
506,1843
507,1953
508,1923
509,1994
510,1342
511,1182
512,2104
513,1503
514,1853
515,1052
516,1232
517,1152
518,1042
519,1022
520,1924
521,1403
522,1213
523,2365
524,2024
525,1282
526,1904
527,2425
528,1884
529,1513
530,1623
531,1893
532,1703
533,1794
534,2044
535,1883
536,2705
537,1943
538,1503
539,2685
540,1523
541,2495
542,1883
543,2094
544,1824
545,1984
546,2174
547,1673
548,2685
549,1322
550,1513
551,1282
552,1302
553,1112
554,1052
555,1232
556,1102
557,1052
558,952
559,1303
560,1863
561,1633
562,2544
563,1172
564,1122
565,1112
566,1002
567,1082
568,1142
569,1232
570,962
571,1022
572,912
573,882
574,941
575,962
576,882
577,1162
578,1112
579,941
580,1172
581,1052
582,1402
583,1703
584,1022
585,1192
586,1252
587,1123
588,1022
589,1102
590,1113
591,1583
592,1163
593,2414
594,1513
595,1683
596,1353
597,1804
598,1753
599,1342
600,1603
601,1333
602,1863
603,1553
604,1443
605,1353
606,1603
607,1533
608,1503
609,1323
610,1403
611,1263
612,1413
613,1804
614,1683
615,1273
616,1964
617,1172
618,1272
619,1312
620,1362
621,1853
622,902
623,1072
624,952
625,1092
626,852
627,1002
628,891
629,992
630,1002
631,1092
632,761
633,1062
634,1032
635,1032
636,892
637,1022
638,2184
639,1223
640,1021
641,992
642,982
643,1001
644,1042
645,942
646,1363
647,1293
648,1503
649,1313
650,1253
651,1333
652,1092
653,1011
654,1212
655,1543
656,1754
657,1122
658,1192
659,1833
660,1403
661,952
662,1102
663,1593
