n,time
1,771
2,629
3,742
4,688
5,769
6,801
7,818
8,899
9,1071
10,1037
11,751
12,1068
13,896
14,968
15,891
16,818
17,634
18,861
19,767
20,826
21,762
22,730
23,743
24,793
25,910
26,857
27,881
28,1029
29,869
30,736
31,873
32,715
33,1065
34,1053
35,862
36,1025
37,1213
38,1043
39,1103
40,932
41,979
42,887
43,908
44,798
45,868
46,919
47,786
48,964
49,725
50,868
51,812
52,825
53,796
54,963
55,887
56,953
57,852
58,858
59,843
60,868
61,892
62,810
63,838
64,864
65,927
66,811
67,834
68,988
69,844
70,826
71,784
72,901
73,897
74,816
75,923
76,956
77,947
78,1081
79,1032
80,1014
81,879
82,970
83,988
84,1043
85,895
86,1011
87,963
88,1011
89,1111
90,998
91,1037
92,1041
93,1002
94,1056
95,1016
96,939
97,964
98,975
99,1026
100,966
101,972
102,1092
103,1124
104,1319
105,1064
106,1150
107,1111
108,1004
109,1158
110,1055
111,1119
112,1249
113,1085
114,1435
115,1187
116,967
117,1134
118,1085
119,1188
120,1154
121,1026
122,1016
123,1131
124,1059
125,1159
126,1067
127,994
128,1042
129,1161
130,1135
131,1011
132,1037
133,1125
134,1051
135,1138
136,1053
137,1205
138,1211
139,1187
140,1159
141,1140
142,1097
143,1081
144,1093
145,1073
146,1064
147,1230
148,1103
149,1085
150,1271
151,1265
152,1204
153,1256
154,1159
155,1166
156,1252
157,1160
158,1150
159,1162
160,1379
161,1232
162,1380
163,1354
164,1354
165,1729
166,1212
167,1392
168,1394
169,1526
170,1195
171,1318
172,1359
173,1194
174,1316
175,1229
176,1252
177,1342
178,1514
179,1250
180,1145
181,1317
182,1315
183,1391
184,1309
185,1434
186,1248
187,1353
188,1238
189,1343
190,1242
191,1173
192,1285
193,1271
194,1375
195,1320
196,1319
197,1392
198,1362
199,1278
200,1320
201,1254
202,1393
203,1427
204,1429
205,1330
206,1451
207,1305
208,1425
209,1388
210,1335
211,1365
212,1328
213,1334
214,1452
215,1376
216,1321
217,1280
218,1292
219,1328
220,1601
221,1562
222,1541
223,4402
224,2727
225,1685
226,1644
227,1433
228,1564
229,1460
230,2198
231,1417
232,1375
233,1543
234,1495
235,1382
236,1540
237,1617
238,1475
239,1541
240,1594
241,1524
242,1627
243,1626
244,2237
245,1881
246,1773
247,1531
248,1742
249,1890
250,1914
251,1714
252,1697
253,2072
254,1693
255,2098
256,2050
257,1830
258,1738
259,1848
260,1723
261,1630
262,1593
263,1714
264,1616
265,1620
266,1668
267,2198
268,1875
269,1717
270,1665
271,1774
272,1642
273,1737
274,1600
275,1768
276,1755
277,2105
278,1736
279,1837
280,2050
281,2165
282,1776
283,1650
284,1667
285,1783
286,1677
287,1586
288,1924
289,1934
290,1926
291,1919
292,1779
293,1748
294,1805
295,1674
296,1945
297,1655
298,1904
299,2217
300,1730
301,1731
302,1769
303,1682
304,1798
305,1640
306,1821
307,1759
308,1650
309,1759
310,1904
311,1790
312,2082
313,1862
314,1734
315,2026
316,1916
317,1935
318,1807
319,1920
320,1894
321,1765
322,1714
323,1724
324,1746
325,1791
326,1876
327,1720
328,1746
329,1684
330,1778
331,1850
332,1936
333,1785
334,1893
335,1721
336,1895
337,1854
338,1689
339,1816
340,1629
341,2063
342,1781
343,2025
344,2105
345,1724
346,1961
347,2059
348,1879
349,1911
350,1758
351,1879
352,1822
353,1979
354,1869
355,1841
356,1821
357,1750
358,1904
359,1845
360,1765
361,1755
362,1789
363,2205
364,1809
365,2051
366,1734
367,1918
368,1995
369,1968
370,1928
371,1878
372,1875
373,1783
374,1748
375,1828
376,1970
377,2257
378,2234
379,1966
380,1930
381,1868
382,1924
383,2140
384,2140
385,2770
386,2020
387,2003
388,1978
389,1940
390,2075
391,1952
392,2067
393,1936
394,2020
395,1935
396,2057
397,2404
398,1991
399,2251
400,2101
401,2206
402,1991
403,2124
404,1995
405,2075
406,2204
407,2300
408,2145
409,1957
410,2016
411,2187
412,2139
413,2095
414,2342
415,2110
416,2191
417,1996
418,2060
419,2240
420,2007
421,2382
422,2062
423,2007
424,2387
425,2062
426,2393
427,2048
428,2348
429,2249
430,2131
431,2014
432,2046
