n,time
1,2504
2,1763
3,1674
4,1413
5,1253
6,1162
7,1222
8,1363
9,1383
10,1333
11,1473
12,1853
13,1634
14,1924
15,1323
16,1553
17,3055
18,1744
19,2195
20,1413
21,1462
22,1363
23,1583
24,1783
25,1813
26,1323
27,1343
28,1263
29,1183
30,1483
31,1473
32,1062
33,912
34,1272
35,1252
36,2805
37,1392
38,1943
39,1203
40,1462
41,2164
42,1483
43,2484
44,1032
45,1172
46,10530
47,1423
48,1573
49,1813
50,9808
51,1513
52,952
53,2595
54,1212
55,1323
56,1072
57,9298
58,1603
59,1152
60,1123
61,1102
62,2224
63,1833
64,2063
65,2225
66,2034
67,1843
68,1633
69,1773
70,1543
71,2214
72,2144
73,1533
74,1874
75,1874
76,2244
77,1843
78,10981
79,2755
80,1493
81,2244
82,2003
83,1813
84,2535
85,1533
86,1403
87,1773
88,1784
89,2235
90,2194
91,1643
92,1883
93,1463
94,1873
95,2895
96,2144
97,1513
98,1954
99,1363
100,1523
101,1984
102,1883
103,1503
104,1262
105,2074
106,1233
107,2164
108,1392
109,2746
110,1283
111,1162
112,1162
113,1162
114,1523
115,1333
116,1643
117,1002
118,1163
119,1152
120,912
121,1102
122,1272
123,1353
124,2454
125,1934
126,1162
127,1994
128,1062
129,1593
130,1853
131,2093
132,2645
133,1683
134,1453
135,1713
136,1263
137,1263
138,1192
139,1062
140,992
141,1563
142,952
143,1372
144,1192
145,2656
146,1994
147,1183
148,1473
149,2665
150,1954
151,1813
152,1914
153,2635
154,2014
155,2094
156,1513
157,2395
158,1924
159,1693
160,2816
161,2655
162,2274
163,2004
164,2665
165,1403
166,1854
167,2425
168,1943
169,1813
170,1142
171,1964
172,2114
173,1323
174,1433
175,2334
176,1693
177,2224
178,2235
179,1753
180,2215
181,971
182,1052
183,2254
184,2164
185,2765
186,1834
187,1674
188,1272
189,2194
190,1623
191,1583
192,2816
193,1483
194,1362
195,2324
196,2164
197,1843
198,1743
199,1934
200,2945
201,2755
202,2354
203,2535
204,2094
205,2345
206,1333
207,1242
208,2956
209,1283
210,1392
211,1152
212,962
213,1162
214,1223
215,1282
216,1443
217,1934
218,1222
219,912
220,1252
221,1082
222,2685
223,2054
224,3326
225,2224
226,1644
227,1833
228,1934
229,1613
230,1312
231,1363
232,1373
233,1373
234,912
235,1112
236,1903
237,632
238,1152
239,1362
240,1152
241,1192
242,1072
243,1663
244,4238
245,2425
246,3426
247,2705
248,1623
249,1834
250,1523
251,1893
252,1283
253,1714
254,1352
255,1964
256,1302
257,2144
258,1112
259,1703
260,1232
261,1653
262,1222
263,1853
264,2244
265,2715
266,2304
267,1502
268,2184
269,1513
270,1433
271,1814
272,1583
273,1643
274,1553
275,1522
276,1322
277,1192
278,1563
279,1282
280,1182
281,1173
282,1373
283,1162
284,1092
285,1062
286,1523
287,3516
288,1633
289,1493
290,1152
291,1332
292,1342
293,1273
294,1292
295,1303
296,1523
297,1934
298,1523
299,1623
300,1874
301,1303
302,2725
303,2735
304,1683
305,1583
306,2595
307,1994
308,1974
309,1833
310,1553
311,1813
312,2846
313,1172
314,1342
315,1292
316,1904
317,1313
318,1884
319,3347
320,1172
321,3346
322,1963
323,1883
324,1322
325,1262
326,1212
327,2044
328,2675
329,2755
330,2485
331,1924
332,2876
333,1773
334,1934
335,2295
336,1823
337,1813
338,1813
339,1733
340,1613
341,1714
342,1804
343,2325
344,1232
345,1663
346,1343
347,1843
348,2524
349,1753
350,1282
351,1904
352,1673
353,1453
354,1303
355,1153
356,1362
357,1683
358,1272
359,1152
360,1262
361,1002
362,911
363,1593
364,801
365,2675
366,1152
367,3036
368,2836
369,2475
370,2414
371,2435
372,1673
373,2344
374,2154
375,2515
376,2164
377,1883
378,2385
379,1913
380,1973
381,1954
382,1664
383,1503
384,1904
385,1263
386,3277
387,1904
388,3226
389,1843
390,1322
391,1242
392,1523
393,1052
394,972
395,1182
396,1032
397,1373
398,1223
399,1323
400,1142
401,1433
402,1222
403,1252
404,1342
405,1072
406,3216
407,1923
408,1573
409,3387
410,2254
411,1933
412,1933
413,1663
414,1593
415,1453
416,1603
417,1172
418,1543
419,1343
420,1192
421,1323
422,1553
423,1523
424,1423
425,1283
426,1764
427,1322
428,1542
429,3326
430,1433
431,1823
432,1183
433,1262
434,1102
435,1252
436,1773
437,1032
438,1243
439,1172
440,1213
441,1563
442,1523
443,1042
444,1022
445,811
446,1092
447,1323
448,982
449,1563
450,2395
451,2685
452,1713
453,1784
454,1492
455,1242
456,1263
457,1363
458,1944
459,1893
460,2154
461,1593
462,1323
463,1262
464,992
465,1453
466,1342
467,1212
468,1032
469,1132
470,1172
471,1983
472,1964
473,1713
474,2285
475,1763
476,2254
477,1743
478,1543
479,1664
480,1974
481,1844
482,2225
483,1794
484,2925
485,1383
486,2855
487,1262
488,1372
489,1493
490,1633
491,1563
492,1603
493,1703
494,2655
495,1723
496,1322
497,1142
498,1093
499,1573
500,1232
501,1212
502,2074
503,1963
504,1904
505,1413
506,1633
507,1923
508,1763
509,1774
510,1322
511,1352
512,1392
513,1583
514,1382
515,861
516,1132
517,1042
518,1112
519,1022
520,902
521,1153
522,1303
523,1553
524,1312
525,1102
526,1673
527,2014
528,1633
529,1212
530,1773
531,2575
532,1603
533,1733
534,1823
535,1673
536,2215
537,1843
538,1713
539,2114
540,1573
541,1643
542,1773
543,1483
544,2535
545,1563
546,2405
547,1663
548,1052
549,1232
550,1603
551,1132
552,1173
553,1153
554,1663
555,962
556,1172
557,932
558,1092
559,2154
560,1873
561,1333
562,1603
563,1683
564,992
565,1223
566,931
567,1092
568,1112
569,1132
570,902
571,1102
572,942
573,741
574,1473
575,922
576,942
577,1373
578,1293
579,1112
580,892
581,1152
582,912
583,1062
584,1092
585,1112
586,1202
587,1021
588,1042
589,1112
590,1212
591,1222
592,1092
593,1323
594,1513
595,1122
596,2524
597,1673
598,1243
599,1473
600,1092
601,2024
602,1122
603,1994
604,972
605,1653
606,992
607,2084
608,1323
609,1704
610,1272
611,2124
612,922
613,1583
614,972
615,1693
616,1312
617,1382
618,1242
619,2214
620,1202
621,1212
622,1383
623,1172
624,952
625,942
626,912
627,1272
628,851
629,941
630,1482
631,882
632,852
633,1132
634,772
635,1152
636,862
637,1082
638,1012
639,1102
640,952
641,982
642,842
643,972
644,932
645,2856
646,4158
647,1353
648,2014
649,1092
650,1643
651,1123
652,1012
653,1102
654,1092
655,1322
656,1302
657,1493
658,1072
659,1323
660,1343
661,1092
662,1864
663,1072
664,1773
665,991
666,1313
667,1392
668,1282
669,1944
670,2214
671,1093
672,941
673,1983
674,992
675,1183
676,1002
677,1112
678,982
679,931
680,992
681,972
682,1153
683,952
684,792
685,1282
686,1453
687,1062
688,1823
689,972
690,922
691,922
692,1172
693,721
694,1052
695,892
696,982
697,842
698,1122
699,902
700,1132
701,1332
702,1403
703,821
704,1082
705,1042
706,1082
707,1052
708,841
709,922
710,1283
711,641
712,1223
713,1102
714,1463
715,932
716,972
717,941
718,1393
719,962
720,1082
721,2214
722,942
723,1983
724,3156
725,2003
726,1252
727,1012
728,732
729,842
730,1122
731,1132
732,1082
733,1513
734,1192
735,1032
736,1102
737,1112
738,952
