n,time
1,396
2,367
3,389
4,405
5,336
6,465
7,451
8,445
9,795
10,579
11,621
12,506
13,635
14,577
15,622
16,675
17,551
18,484
19,715
20,633
21,628
22,647
23,603
24,647
25,561
26,559
27,650
28,602
29,727
30,686
31,637
32,680
33,600
34,803
35,671
36,683
37,956
38,1017
39,916
40,808
41,1043
42,802
43,765
44,776
45,745
46,732
47,905
48,714
49,762
50,699
51,790
52,812
53,715
54,771
55,817
56,764
57,964
58,828
59,934
60,873
61,804
62,1021
63,820
64,910
65,1023
66,946
67,1290
68,950
69,1052
70,852
71,861
72,1001
73,1245
74,976
75,869
76,1078
77,1186
78,1056
79,1189
80,1023
81,1051
82,1099
83,1056
84,1169
85,1151
86,1141
87,1123
88,1149
89,1176
90,1224
91,1189
92,1241
93,1214
94,1182
95,1191
96,1247
97,1197
98,1255
99,1288
100,1214
101,1224
102,1434
103,1301
104,1335
105,1507
106,1302
107,1459
108,1423
109,1388
110,1367
111,1645
112,1450
113,1422
114,1495
115,1506
116,1411
117,1537
118,1611
119,1448
120,1671
121,1460
122,1617
123,1612
124,1447
125,1394
126,1547
127,1474
128,1392
129,1481
130,1536
131,1564
132,1596
133,1593
134,1526
135,1512
136,1851
137,1559
138,1490
139,1540
140,1697
141,2020
142,1571
143,1786
144,1631
145,1644
146,1617
147,1737
148,1606
149,1653
150,1643
151,1656
152,1876
153,1723
154,1885
155,1796
156,1947
157,1769
158,1793
159,1834
160,1866
161,2024
162,1923
163,2030
164,1956
165,1958
166,2046
167,1974
168,2293
169,2014
170,1957
171,2193
172,1971
173,2207
174,1981
175,1994
176,1924
177,2001
178,1982
179,1987
180,2004
181,2056
182,1998
183,1986
184,2034
185,2122
186,2018
187,2053
188,2169
189,2063
190,2407
191,2182
192,2470
193,2398
194,2093
195,2139
196,2111
197,2342
198,2664
199,2196
200,2213
201,2342
202,2162
203,2505
204,2347
205,2353
206,2385
207,2486
208,2432
209,2264
210,2351
211,2462
212,2353
213,2285
214,2442
215,2548
216,2357
217,2286
218,2308
219,2377
220,2421
221,3066
222,2433
223,2384
224,5654
225,2872
226,2476
227,2536
228,2886
229,2496
230,2716
231,2909
232,2504
233,2655
234,2538
235,2617
236,2617
237,2570
238,2613
239,3270
240,2706
241,2972
242,2695
243,2713
244,3098
245,4124
246,3146
247,3209
248,3003
249,3190
250,3013
251,3945
252,3308
253,6599
254,3209
255,3340
256,3425
257,3208
258,3168
259,3363
260,3804
261,3496
262,2924
263,3314
264,2937
265,3221
266,2922
267,3958
268,4065
269,3067
270,2911
271,3052
272,3010
273,3084
274,3170
275,3241
276,3355
277,4139
278,3582
279,3613
280,3331
281,3532
282,3404
283,3732
284,3029
285,3113
286,3150
287,3315
288,6472
289,3251
290,3315
291,3231
292,3431
293,3164
294,3273
295,3370
296,3403
297,3568
298,3358
299,3292
300,3347
301,3202
302,3159
303,3577
304,3538
305,3396
306,3325
307,3329
308,3555
309,3290
310,3374
311,3431
312,3200
313,3434
314,3343
315,3456
316,3463
317,3423
318,3329
319,3412
320,3316
321,3484
322,3296
323,3498
324,3479
325,5028
326,3617
327,3411
328,3564
329,3619
330,3719
331,3806
332,3521
333,3618
334,3928
335,3826
336,3700
337,3789
338,3723
339,3961
340,3442
341,3413
342,3659
343,3640
344,3568
345,3453
346,3637
347,3476
348,3549
349,3504
350,3502
351,3743
352,3551
353,3531
354,4058
355,3841
356,4016
357,3577
358,3561
359,3663
360,3547
361,3616
362,3707
363,3823
364,3732
365,3709
366,3594
367,3580
368,3683
369,3632
370,3663
371,3747
372,3817
373,3723
374,4024
375,3784
376,3979
377,3730
378,3868
379,4099
380,4093
381,3973
382,4018
383,4207
384,4132
385,4464
386,4388
387,4163
388,4019
389,4022
390,4397
391,3965
392,4202
393,4236
394,4255
395,4158
396,3925
397,4165
398,4042
399,4058
400,4645
401,4027
402,4319
403,4044
404,4152
405,4187
406,4224
407,4407
408,4476
409,4397
410,4326
411,4553
412,4656
413,4422
414,4209
415,4164
416,4259
417,4500
418,4690
419,4807
420,4556
421,4506
422,4379
423,4385
424,4379
425,4305
426,4325
427,4219
428,4451
429,7477
430,4312
431,4453
432,4855
433,4354
434,4264
435,4277
436,4971
437,4518
438,4491
439,4553
440,4354
441,4751
442,4469
443,4669
444,4540
445,4387
446,4457
447,4403
448,4432
449,4759
450,5259
451,5584
452,4810
453,4932
454,4969
455,4875
456,5079
457,4997
458,4950
459,5444
460,7345
461,4648
462,5184
463,4820
464,5337
465,5311
466,4693
467,4928
468,4713
469,4691
470,4844
471,4834
472,4818
473,4881
474,4894
475,4760
476,5311
477,5354
478,5005
479,5104
480,5036
481,5164
482,4802
483,5288
484,4965
485,4982
486,5224
487,4828
488,5074
489,5137
490,5182
491,5046
492,5326
493,5186
494,4769
495,5180
496,4989
497,5110
498,4933
499,5340
500,5019
501,4990
502,5181
503,5128
504,5008
505,4998
506,5163
507,5072
508,5024
509,5687
510,5279
511,5080
512,5102
513,5348
514,5049
515,5081
516,5468
517,5280
518,4951
519,5423
520,5429
521,7515
522,5664
523,5769
524,5306
525,5394
526,5548
527,5531
528,5318
529,5716
530,5279
531,5246
532,5838
533,5656
534,5944
535,5754
536,5692
537,5730
538,6647
539,5675
540,5701
541,5607
542,5989
543,5574
544,5561
545,6287
546,5691
547,6174
548,6168
549,5959
550,6207
551,5800
552,5976
553,5799
554,5606
555,5936
556,5878
557,5832
558,6138
559,5849
560,5551
561,5635
562,5790
563,5403
564,6549
565,6214
566,5880
567,5874
