n,time
0,30
1,171
2,361
3,310
4,371
5,221
6,370
7,380
8,521
9,390
10,470
11,651
12,571
13,581
14,701
15,661
16,641
17,631
18,792
19,862
20,811
21,1042
22,972
23,1042
24,971
25,931
26,1011
27,1262
28,1002
29,1453
30,982
31,1482
32,1102
33,1263
34,1283
35,1162
36,1293
37,1653
38,1903
39,1463
40,1493
41,1282
42,1372
43,7594
44,1482
45,1402
46,1493
47,1453
48,1623
49,1393
50,1543
51,1442
52,1563
53,1463
54,1613
55,1573
56,2535
57,1633
58,1673
59,2234
60,2655
61,2805
62,2685
63,2825
64,1794
65,1743
66,1754
67,1814
68,1843
69,1803
70,1854
71,1893
72,2645
73,1903
74,2043
75,1903
76,1973
77,1943
78,2004
79,1974
80,3076
81,2053
82,2044
83,2063
84,2074
85,2074
86,2165
87,2094
88,3657
89,3817
90,3286
91,2114
92,3396
93,3456
94,2515
95,2144
96,2765
97,2294
98,2214
99,2334
100,2384
101,2294
102,2354
103,2375
104,2284
105,2544
106,4118
107,2615
108,2515
109,4899
110,2595
111,2485
112,2755
113,2545
114,2925
115,2605
116,2615
117,2776
118,2515
119,2565
120,2545
121,2665
122,3085
123,3206
124,5080
125,3126
126,3156
127,2995
128,5350
129,4328
130,3346
131,4289
132,3336
133,3537
134,2985
135,4629
136,2905
137,3596
138,3557
139,2826
140,2835
141,3467
142,3096
143,3717
144,3317
145,5090
146,3377
147,3236
148,5250
149,3196
150,3427
151,6111
152,3928
153,5781
154,5881
155,6031
156,5250
157,7094
158,3827
159,6743
160,4218
161,6112
162,6082
163,5310
164,6382
165,3627
166,3537
167,3687
168,3397
169,5751
170,3667
171,6111
172,7775
173,5160
174,4228
175,3828
176,3948
177,6913
178,4249
179,5801
180,6673
181,3647
182,3697
183,3967
184,7344
185,3867
186,4468
187,4939
188,8907
189,6873
190,7033
191,7755
192,3957
193,7193
194,6532
195,3928
196,8286
197,5290
198,4509
199,11612
200,8706
201,4068
202,4018
203,4369
204,5200
205,7614
206,4078
207,7394
208,7665
209,7053
210,4158
211,7064
212,4298
213,4127
214,4118
215,8035
216,4268
217,10761
218,8907
219,7304
220,7985
221,8115
222,4369
223,8115
224,5150
225,4388
226,8767
227,4398
228,8756
229,4508
230,7764
231,8576
232,8366
233,4469
234,4328
235,5761
236,4428
237,4739
238,4448
239,4559
240,5240
241,4569
242,4920
243,6543
244,7274
245,4899
246,7093
247,7625
248,7184
249,5190
250,5250
251,4549
252,5190
253,4609
254,5681
255,4599
256,5881
257,7023
258,7304
259,5510
260,5951
261,5079
262,6643
263,5601
264,7274
265,8046
266,7244
267,6111
268,6713
269,7264
270,9789
271,6242
272,6262
273,5510
274,5260
275,8276
276,10059
277,7505
278,6472
279,7414
280,5301
281,5260
282,5310
283,9799
284,6592
285,8596
286,8716
287,5871
288,6653
289,5932
290,5690
291,6352
292,5520
293,7284
294,5912
295,11061
296,5650
297,10059
298,8697
299,6032
300,9758
301,7213
302,7414
303,5891
304,6573
305,6112
306,5741
307,5711
308,5680
309,8927
310,6262
311,10720
312,5801
313,5680
314,5841
315,5931
316,5981
317,6883
318,6072
319,12494
320,6081
321,5992
322,6011
323,6623
324,10540
325,6843
326,6763
327,6582
328,6523
329,6232
330,6212
331,7604
332,7514
333,6111
334,6122
335,6312
336,6192
337,6322
338,6162
339,6162
340,6232
341,6492
342,6503
343,6473
344,6452
345,6502
346,6613
347,6733
348,6572
349,7855
350,6422
351,6302
352,7575
353,13195
354,6453
355,7034
356,6703
357,6743
358,6752
359,7113
360,6712
361,7534
362,8106
363,7064
364,6612
365,6712
366,6723
367,8356
368,7605
369,6833
370,6682
371,7895
372,7684
373,6873
374,6893
375,7754
376,7514
377,7103
378,7514
379,6963
380,6772
381,7093
382,8416
383,8115
384,7043
385,7173
386,7073
387,7033
388,7123
389,7515
390,7294
391,7885
392,7535
393,7023
394,10540
395,7243
396,10389
397,10269
398,8837
399,7604
400,7044
401,7124
402,7023
403,10560
404,10249
405,8005
406,8676
407,8557
408,8556
409,6944
410,8336
411,7715
412,8516
413,7785
414,7755
415,7113
416,7495
417,7424
418,8436
419,7124
420,8556
421,8025
422,8687
423,9117
424,7614
425,8076
426,8055
427,7465
428,7384
429,9999
430,7615
431,9428
432,8726
433,8296
434,10470
435,7744
436,9518
437,7704
438,8416
439,7835
440,11131
441,8105
442,7835
443,7835
444,9088
445,9538
446,9508
447,9107
448,7936
449,9659
450,9217
451,9317
452,9128
453,8677
454,7985
455,11562
456,9037
457,8827
458,11863
459,9237
460,9758
461,9458
462,8827
463,8797
464,8205
465,8006
466,7995
467,12333
468,8366
469,10610
470,9398
471,9338
472,8296
473,8245
474,8295
475,8255
476,9198
477,8656
478,16171
479,10831
480,11782
481,9358
482,9208
483,8567
484,8325
485,8326
486,20298
487,9218
488,9237
489,8206
490,8356
491,9468
492,8306
493,12043
494,8717
495,8526
496,9408
497,11942
498,14217
499,8766
500,14057
501,13967
502,9067
503,9608
504,8917
505,8877
506,10660
507,8677
508,9367
509,9618
510,8777
511,9528
512,9328
513,9117
514,10329
515,10229
516,11762
517,9127
518,10090
519,8917
520,11241
521,14177
522,14247
523,12975
524,8927
525,9037
526,8827
527,13997
528,9158
529,13205
530,10460
531,8887
532,13656
533,10079
534,9328
535,12233
536,11422
537,14928
538,12184
539,25148
540,10260
541,13376
542,9247
543,9307
544,9698
545,10160
546,9808
547,9458
548,9118
549,10380
550,10269
551,11682
552,9317
553,10229
554,10760
555,11873
556,9468
557,9679
558,9328
559,9588
560,11992
561,9708
562,9488
563,9368
564,11352
565,9548
566,9749
567,14297
568,11061
569,10991
570,9889
571,14147
572,12654
573,12153
574,9618
575,9698
576,9558
577,9548
578,17223
579,14268
580,13356
581,10179
582,11372
583,9848
584,10129
585,11712
586,10840
587,10289
588,10911
589,10309
590,14588
591,9959
592,10459
593,17142
594,11041
595,11051
596,12223
597,13346
598,9908
599,11712
600,10160
601,10620
602,10250
603,13215
604,13185
605,10149
606,10280
607,10039
608,9979
609,10079
610,14146
611,14046
612,11212
613,14908
614,17393
615,13215
616,10790
617,16651
618,12925
619,11462
620,10781
621,12143
622,16161
623,14338
624,10910
625,14247
626,11021
627,12644
628,11783
629,10379
630,11602
631,15469
632,12314
633,10630
634,13746
635,13376
636,10641
637,14368
638,11592
639,14407
640,15841
641,10661
642,11993
643,11142
644,10851
645,10900
646,15058
647,11251
648,15019
649,13656
650,11933
651,10700
652,13446
653,13506
654,10891
655,10860
656,11382
657,12885
658,12033
659,15139
660,12073
661,11221
662,10851
663,14367
664,11522
665,12684
666,13545
667,11702
668,11673
669,18725
670,13976
671,11172
672,11261
673,11683
674,12343
675,13887
676,11232
677,14257
678,11271
679,11292
680,12343
681,15630
682,13525
683,11301
684,11141
685,13306
686,11181
687,11562
688,11322
689,11191
690,14388
691,14878
692,11572
693,12013
694,11673
695,11562
696,12214
697,15580
698,13866
699,12794
700,21852
701,15700
702,15850
703,12223
704,11572
705,11782
706,11592
707,11552
708,11893
709,16221
710,11783
711,12294
712,13756
713,15099
714,12343
715,12413
716,13045
717,13095
718,11962
719,12043
720,11842
721,12023
722,12243
723,12694
724,12314
725,12434
726,12524
727,12234
728,12113
729,11833
730,19487
731,12153
732,17694
733,13556
734,12714
735,12394
736,16432
737,12464
738,16702
739,15479
740,12895
741,17864
742,14537
743,18044
744,12073
745,12433
746,12724
747,12815
748,12904
749,16111
750,13095
751,13726
752,12373
753,13646
754,13796
755,18224
756,12373
757,12414
758,16291
759,17743
760,12614
761,12494
762,15599
763,19347
764,12735
765,12564
766,16512
767,12724
768,12674
769,12764
770,18325
771,12403
772,14898
773,12674
774,15750
775,19356
776,15840
777,18695
778,14878
779,12855
780,13005
781,12524
782,12875
783,12534
784,12564
785,19948
786,12894
787,12744
788,14888
789,12914
790,16101
791,12865
792,14267
793,12725
794,12924
795,13737
796,12925
797,13515
798,15279
799,16602
800,13015
801,13034
802,18926
803,15469
804,15189
805,17864
806,18966
807,26791
808,21521
809,13335
810,12925
811,17683
812,15028
813,19728
814,16612
815,13376
816,13656
817,13345
818,13245
819,14758
820,14017
821,13426
822,17614
823,24667
824,25108
825,13446
826,21791
827,16752
828,16732
829,13425
830,13525
831,13456
832,13315
833,13636
834,13616
835,13335
836,13466
837,13396
838,18776
839,21330
840,16882
841,13826
842,13515
843,13676
844,14838
845,17373
846,13777
847,17163
848,17173
849,13716
850,17934
851,14357
852,14378
853,13876
854,14087
855,14698
856,14528
857,16251
858,13997
859,14157
860,17533
861,14197
862,13977
863,14006
864,14137
865,14026
866,16492
867,17543
868,13977
869,14117
870,14077
871,14146
872,14157
873,14237
874,21060
875,15940
876,14237
877,14297
878,14337
879,15610
880,15840
881,18665
882,19617
883,18265
884,14347
885,17934
886,15590
887,14297
888,19356
889,15820
890,27091
891,21230
892,14988
893,15910
894,16822
895,21951
896,16000
897,14287
898,14327
899,15219
900,15460
901,16210
902,14397
903,16361
904,14607
905,15309
906,15319
907,16181
908,14618
909,14718
910,14638
911,15279
912,16271
913,14788
914,18475
915,14758
916,19197
917,14748
918,16381
919,15209
920,14898
921,15770
922,20449
923,24426
924,16481
925,14958
926,14939
927,21811
928,15088
929,22182
930,18645
931,15008
932,15159
933,16882
934,15199
935,18556
936,15459
937,22263
938,19337
939,14929
940,18035
941,19738
942,18876
943,15199
944,17654
945,16812
946,15359
947,15058
948,15359
949,18996
950,25949
951,15920
952,15289
953,16071
954,19226
955,15459
956,16000
957,15469
958,26250
959,16992
960,15490
961,15419
962,15400
963,21181
964,19297
965,15439
966,17864
967,15540
968,16171
969,16191
970,17974
971,17363
972,15699
973,16421
974,20348
975,16602
976,16382
977,15309
978,15410
979,23083
980,16031
981,15610
982,19106
983,16130
984,15689
985,17654
986,19698
987,15700
988,15770
989,15980
990,19818
991,15880
992,20098
993,19086
994,19848
995,22303
996,16912
997,15990
998,16050
999,15750
1000,17763
1001,17633
1002,16732
1003,20429
1004,15800
1005,15820
1006,16080
1007,16081
1008,18916
1009,20169
1010,20429
1011,16121
1012,17484
1013,18014
1014,19116
1015,17824
1016,18004
1017,19056
1018,16301
1019,16081
1020,18134
1021,16792
1022,17864
1023,20388
1024,17113
1025,17293
1026,17643
1027,16241
1028,22874
1029,19567
1030,19317
1031,16301
1032,18645
1033,16662
1034,18325
1035,16481
1036,23014
1037,19877
1038,16832
1039,36218
1040,16852
1041,16672
1042,17003
1043,21070
1044,16862
1045,17002
1046,16752
1047,16552
1048,20189
1049,21642
1050,19076
1051,16972
1052,21641
1053,20179
1054,17062
1055,20279
1056,25629
1057,39115
1058,25408
1059,25328
1060,26410
1061,17093
1062,21460
1063,21451
1064,17503
1065,18004
1066,18996
1067,17403
1068,19067
1069,17563
1070,21871
1071,20279
1072,17063
1073,17142
1074,17093
1075,17073
1076,17323
1077,22623
1078,21682
1079,19106
1080,19126
1081,20499
1082,20369
1083,20650
1084,17173
1085,23254
1086,17273
1087,24577
1088,19467
1089,19437
1090,18265
1091,17413
1092,17594
1093,17614
1094,17613
1095,17614
1096,17634
1097,17504
1098,17383
1099,21862
1100,17613
1101,19387
1102,17533
1103,17222
1104,17664
1105,18355
1106,17763
1107,27552
1108,17514
1109,17593
1110,17693
1111,17714
1112,22142
1113,24567
1114,18645
1115,18736
1116,22383
1117,18676
1118,18344
1119,18605
1120,22212
1121,18735
1122,22502
1123,36830
1124,26521
1125,18786
1126,18064
1127,21150
1128,18014
1129,17794
1130,22573
1131,26561
1132,26641
1133,23024
1134,23625
1135,18085
1136,18104
1137,40778
1138,19046
1139,20089
1140,18966
1141,25168
1142,20158
1143,18214
1144,20158
1145,22904
1146,22944
1147,28785
1148,20249
1149,22162
1150,18114
1151,21521
1152,18304
1153,20348
1154,18274
1155,25388
1156,20399
1157,23444
1158,18465
1159,18505
1160,30348
1161,18576
1162,18505
1163,18836
1164,18695
1165,18495
1166,18705
1167,18345
1168,20238
1169,18626
1170,19527
1171,19156
1172,18635
1173,25799
1174,18796
1175,18475
1176,27683
1177,25268
1178,21981
1179,23625
1180,20740
1181,18675
1182,18545
1183,24035
1184,18806
1185,18705
1186,18745
1187,24798
1188,18906
1189,20949
1190,18977
1191,25088
1192,24356
1193,36580
1194,19087
1195,19678
1196,18997
1197,19076
1198,19106
1199,19157
1200,19116
1201,20950
1202,24006
1203,19928
1204,19086
1205,19176
1206,19567
1207,20118
1208,35277
1209,26250
1210,19297
1211,22663
1212,31299
1213,23946
1214,28073
1215,21460
1216,19377
1217,19477
1218,20429
1219,19407
1220,20298
1221,19437
1222,19417
1223,22814
1224,19457
1225,19457
1226,21591
1227,20479
1228,20779
1229,19317
1230,20359
1231,19567
1232,19837
1233,19648
1234,19457
1235,26630
1236,29075
1237,36449
1238,26711
1239,19717
1240,19738
1241,29296
1242,21861
1243,19758
1244,19747
1245,19897
1246,20740
1247,25769
1248,23565
1249,19908
1250,20369
1251,19476
1252,19877
1253,19888
1254,19968
1255,22272
1256,19898
1257,20799
1258,19948
1259,23525
1260,21010
1261,21020
1262,25047
1263,22152
1264,19877
1265,25529
1266,20188
1267,20098
1268,20138
1269,27272
1270,22312
1271,22453
1272,22653
1273,20148
1274,20269
1275,23645
1276,22513
1277,25398
1278,21651
1279,23565
1280,20269
1281,24607
1282,22723
1283,20138
1284,30067
1285,26640
1286,21291
1287,20369
1288,24126
1289,35758
1290,34927
1291,25579
1292,24717
1293,21470
1294,20499
1295,20399
1296,21521
1297,24627
1298,20569
1299,23024
1300,21912
1301,26079
1302,30628
1303,20639
1304,24356
1305,22883
1306,20970
1307,20599
1308,27141
1309,20750
1310,20710
1311,25869
1312,30197
1313,26650
1314,20920
1315,24848
1316,27302
1317,27292
1318,25669
1319,22032
1320,24086
1321,21250
1322,20980
1323,21180
1324,23214
1325,20589
1326,20680
1327,31320
1328,20980
1329,22923
1330,29095
1331,31409
1332,24677
1333,29025
1334,25037
1335,26410
1336,23254
1337,21110
1338,21100
1339,21030
1340,21331
1341,26560
1342,21060
1343,27111
1344,25408
1345,25819
1346,21571
1347,21270
1348,23605
1349,28053
1350,21801
1351,25218
1352,29746
1353,33764
1354,23845
1355,21290
1356,21441
1357,23845
1358,21511
1359,25429
1360,21260
1361,31951
1362,23845
1363,21872
1364,21341
1365,21431
1366,22713
1367,24487
1368,21631
1369,37391
1370,27252
1371,24046
1372,26741
1373,22483
1374,28434
1375,21751
1376,21722
1377,22763
1378,21771
1379,24176
1380,24567
1381,21651
1382,21821
1383,37381
1384,30278
1385,21862
1386,22893
1387,24336
1388,21921
1389,25869
1390,30418
1391,21832
1392,24286
1393,22022
1394,23034
1395,27483
1396,25980
1397,25999
1398,21912
1399,22011
1400,21882
1401,23585
1402,21872
1403,21941
1404,28935
1405,32512
1406,23154
1407,22152
1408,29476
1409,28934
1410,24686
1411,22383
1412,22092
1413,23154
1414,22683
1415,24998
1416,29626
1417,22412
1418,29256
1419,23926
1420,24868
1421,22522
1422,23695
1423,27743
1424,22403
1425,22483
1426,28474
1427,29496
1428,28204
1429,27352
1430,25408
1431,28664
1432,25207
1433,22713
1434,30207
1435,23635
1436,23916
1437,24306
1438,22683
1439,22683
