n,time
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,0
19,0
20,0
21,0
22,0
23,1
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,1
33,1
34,0
35,0
36,0
37,0
38,1
39,1
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,1
48,1
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,1
64,0
65,1
66,1
67,0
68,0
69,0
70,1
71,0
72,1
73,0
74,1
75,1
76,1
77,0
78,0
79,1
80,1
81,1
82,1
83,0
84,1
85,1
86,1
87,1
88,0
89,0
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,0
103,1
104,1
105,0
106,1
107,1
108,2
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,4
130,2
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,2
163,4
164,2
165,1
166,3
167,2
168,2
169,2
170,1
171,1
172,1
173,1
174,1
175,2
176,1
177,2
178,2
179,2
180,1
181,1
182,2
183,2
184,2
185,1
186,1
187,1
188,1
189,2
190,1
191,2
192,2
193,2
194,2
195,1
196,1
197,1
198,1
199,1
200,2
201,2
202,1
203,1
204,2
205,1
206,1
207,1
208,1
209,2
210,1
211,1
212,1
213,1
214,2
215,2
216,2
217,1
218,1
219,1
220,2
221,1
222,2
223,2
224,2
225,2
226,1
227,2
228,1
229,2
230,2
231,1
232,1
233,1
234,2
235,1
236,2
237,1
238,1
239,1
240,2
241,1
242,1
243,1
244,1
245,1
246,1
247,2
248,2
249,1
250,2
251,1
252,1
253,1
254,1
255,1
256,1
257,5
258,5
259,4
260,4
261,4
262,4
263,4
264,4
265,4
266,5
267,5
268,4
269,5
270,5
271,4
272,4
273,4
274,4
275,4
276,4
277,5
278,6
279,4
280,5
281,5
282,5
283,5
284,5
285,4
286,4
287,4
288,5
289,4
290,5
291,4
292,4
293,5
294,5
295,5
296,5
297,4
298,42
299,9
300,7
301,5
302,5
303,5
304,5
305,5
306,5
307,5
308,5
309,5
310,6
311,5
312,5
313,6
314,5
315,5
316,5
317,5
318,5
319,5
320,5
321,8
322,5
323,11
324,8
325,6
326,7
327,7
328,5
329,5
330,5
331,7
332,6
333,5
334,6
335,5
336,7
337,5
338,6
339,6
340,6
341,6
342,5
343,5
344,5
345,6
346,5
347,5
348,5
349,5
350,5
351,6
352,5
353,5
354,11
355,6
356,6
357,6
358,5
359,5
360,5
361,5
362,5
363,6
364,7
365,5
366,5
367,6
368,6
369,5
370,6
371,5
372,6
373,5
374,6
375,5
376,6
377,5
378,5
379,6
380,6
381,5
382,6
383,5
384,6
385,6
386,8
387,7
388,6
389,6
390,6
391,6
392,8
393,6
394,5
395,6
396,6
397,6
398,6
399,6
400,5
401,6
402,6
403,5
404,5
405,6
406,6
407,6
408,6
409,6
410,8
411,6
412,6
413,6
414,7
415,7
416,10
417,6
418,6
419,6
420,6
421,6
422,6
423,6
424,9
425,8
426,6
427,7
428,8
429,6
430,7
431,7
432,8
433,6
434,6
435,6
436,6
437,8
438,7
439,7
440,12
441,6
442,6
443,8
444,7
445,8
446,6
447,6
448,6
449,6
450,7
451,7
452,6
453,6
454,6
455,8
456,12
457,6
458,6
459,6
460,6
461,6
462,6
463,6
464,6
465,6
466,6
467,6
468,7
469,8
470,7
471,6
472,6
473,6
474,7
475,8
476,8
477,6
478,7
479,7
480,7
481,7
482,6
483,8
484,7
485,6
486,7
487,7
488,8
489,8
490,8
491,9
492,7
493,10
494,8
495,10
496,8
497,8
498,9
499,7
500,7
501,6
502,7
503,7
504,9
505,7
506,6
507,6
508,8
509,8
510,7
511,7
512,7
513,8
514,8
515,8
516,9
517,8
518,8
519,8
520,7
521,9
522,8
523,8
524,8
525,8
526,7
527,8
528,8
529,8
530,7
531,8
532,8
