n,time
1,90
2,61
3,50
4,50
5,30
6,40
7,41
8,40
9,40
10,30
11,41
12,40
13,31
14,30
15,40
16,40
17,50
18,30
19,41
20,40
21,30
22,40
23,40
24,30
25,30
26,30
27,30
28,40
29,30
30,30
31,30
32,30
33,30
34,30
35,30
36,30
37,30
38,40
39,30
40,30
41,30
42,30
43,30
44,30
45,40
46,30
47,30
48,30
49,30
50,30
51,30
52,40
53,41
54,30
55,30
56,30
57,30
58,30
59,40
60,40
61,30
62,30
63,30
64,40
65,40
66,30
67,40
68,40
69,30
70,30
71,30
72,31
73,30
74,30
75,1032
76,40
77,40
78,30
79,30
80,30
81,30
82,40
83,30
84,30
85,41
86,30
87,31
88,30
89,30
90,40
91,40
92,40
93,40
94,40
95,30
96,30
97,30
98,41
99,30
100,31
101,30
102,30
103,30
104,30
105,30
106,40
107,30
108,30
109,40
110,30
111,30
112,40
113,30
114,30
115,41
116,30
117,30
118,30
119,30
120,40
121,30
122,40
123,30
124,40
125,30
126,30
127,30
128,41
129,50
130,30
131,30
132,40
133,30
134,40
135,30
136,40
137,30
138,40
139,30
140,30
141,30
142,30
143,30
144,30
145,30
146,41
147,30
148,40
149,30
150,40
151,40
152,30
153,40
154,40
155,40
156,30
157,30
158,30
159,40
160,30
161,31
162,40
163,30
164,30
165,30
166,40
167,30
168,30
169,30
170,1072
171,30
172,30
173,40
174,30
175,40
176,31
177,40
178,30
179,40
180,30
181,30
182,30
183,30
184,30
185,30
186,30
187,40
188,30
189,40
190,40
191,31
192,30
193,30
194,30
195,40
196,30
197,30
198,40
199,30
200,40
201,40
202,30
203,30
204,41
205,40
206,40
207,30
208,30
209,30
210,40
211,30
212,40
213,30
214,40
215,30
216,30
217,30
218,40
219,41
220,30
221,40
222,30
223,30
224,30
225,30
226,40
227,30
228,30
229,30
230,30
231,40
232,31
233,40
234,30
235,40
236,30
237,30
238,30
239,30
240,30
241,30
242,40
243,30
244,30
245,30
246,30
247,41
248,30
249,30
250,30
251,30
252,30
253,30
254,40
255,30
256,40
257,50
258,40
259,30
260,40
261,30
262,30
263,40
264,30
265,40
266,40
267,30
268,30
269,40
270,30
271,30
272,30
273,40
274,31
275,30
276,30
277,30
278,30
279,30
280,40
281,30
282,30
283,30
284,60
285,50
286,30
287,30
288,50
289,40
