n,time
0,0
1,0
2,0
3,0
4,0
5,0
6,1
7,0
8,0
9,0
10,0
11,0
12,0
13,1
14,0
15,0
16,0
17,0
18,0
19,0
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,2
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,2
39,1
40,1
41,1
42,1
43,11
44,1
45,1
46,1
47,1
48,1
49,1
50,2
51,1
52,1
53,1
54,1
55,2
56,1
57,2
58,1
59,1
60,1
61,1
62,1
63,2
64,1
65,1
66,2
67,1
68,2
69,2
70,2
71,2
72,1
73,2
74,2
75,2
76,2
77,2
78,2
79,1
80,2
81,2
82,3
83,1
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,2
96,2
97,2
98,2
99,2
100,2
101,3
102,2
103,2
104,2
105,2
106,2
107,2
108,3
109,2
110,2
111,2
112,3
113,3
114,3
115,2
116,3
117,2
118,2
119,3
120,2
121,3
122,2
123,3
124,2
125,2
126,2
127,3
128,3
129,5
130,3
131,2
132,3
133,3
134,3
135,3
136,3
137,3
138,4
139,3
140,3
141,3
142,3
143,2
144,3
145,2
146,3
147,2
148,3
149,3
150,3
151,3
152,4
153,3
154,4
155,3
156,5
157,6
158,3
159,6
160,3
161,8
162,7
163,4
164,7
165,3
166,5
167,4
168,4
169,6
170,3
171,4
172,4
173,4
174,4
175,6
176,5
177,6
178,3
179,4
180,3
181,4
182,5
183,6
184,6
185,9
186,4
187,4
188,6
189,4
190,5
191,3
192,8
193,4
194,9
195,4
196,5
197,5
198,4
199,4
200,7
201,4
202,3
203,7
204,7
205,4
206,3
207,3
208,3
209,4
210,7
211,6
212,4
213,5
214,6
215,5
216,6
217,5
218,4
219,8
220,8
221,7
222,4
223,8
224,5
225,5
226,4
227,5
228,8
229,7
230,7
231,4
232,9
233,4
234,5
235,5
236,4
237,4
238,4
239,6
240,5
241,6
242,4
243,5
244,4
245,5
246,4
247,6
248,7
249,6
250,7
251,4
252,4
253,4
254,4
255,5
256,4
257,5
258,5
259,6
260,8
261,5
262,5
263,7
264,7
265,6
266,5
267,6
268,5
269,7
270,6
271,7
272,5
273,6
274,5
275,5
276,9
277,10
278,6
279,7
280,9
281,9
282,5
283,8
284,8
285,6
286,5
287,5
288,7
289,5
290,5
291,5
292,5
293,5
294,6
295,5
296,5
297,5
298,21
299,6
300,7
301,5
302,9
303,10
304,10
305,6
306,7
307,10
308,6
309,6
310,6
311,6
312,6
313,10
314,6
315,6
316,6
317,7
318,5
319,10
320,6
321,12
322,11
323,11
324,11
325,11
326,8
327,6
328,8
329,9
330,6
331,8
332,14
333,6
334,7
335,6
336,7
337,6
338,6
339,13
340,9
341,7
342,11
343,7
344,8
345,10
346,9
347,9
348,18
349,8
350,7
351,7
352,6
353,9
354,15
355,9
356,8
357,11
358,8
359,6
360,6
361,9
362,7
363,11
364,13
365,10
366,10
367,7
368,6
369,6
370,6
371,7
372,6
373,7
374,7
375,8
376,9
377,7
378,8
379,9
380,13
381,7
382,12
383,11
384,8
385,9
386,13
387,8
388,8
389,12
390,10
391,7
392,12
393,9
394,12
395,8
396,10
397,16
398,8
399,8
400,8
401,10
402,8
403,7
404,7
405,7
406,7
407,7
408,8
409,7
410,12
411,13
412,9
413,8
414,8
415,14
416,8
417,9
418,85
419,15
420,9
421,8
422,10
423,11
424,8
425,14
426,10
427,15
428,9
429,15
430,8
431,13
432,10
433,15
434,10
435,7
436,7
437,9
438,13
439,9
440,20
441,14
442,9
443,15
444,7
445,8
446,15
447,15
448,14
449,7
450,7
451,8
452,8
453,8
454,7
455,14
456,8
457,8
458,8
459,8
460,8
461,8
462,8
463,8
464,8
465,8
466,8
467,8
468,15
469,15
470,8
471,8
472,8
473,8
474,16
475,8
476,14
477,8
478,8
479,15
480,8
481,8
482,8
483,11
484,8
485,8
486,17
487,8
488,8
489,8
490,17
491,9
492,15
493,13
494,10
495,9
496,14
497,10
498,10
499,9
500,9
501,8
502,14
503,9
504,10
505,10
506,9
507,16
508,10
509,14
510,9
511,14
512,11
513,12
514,19
515,10
516,14
517,13
518,12
519,10
520,11
521,9
522,10
523,9
524,11
525,9
526,9
527,11
528,12
529,14
530,14
531,11
532,17
